,index,name,rate,title,rating,calories,sodium,fat,protein,personal_rating
0,0,rhaeredekop from Winnipeg,5.0,"Curried Lentil, Tomato, and Coconut Soup ",5.0,437.0,667.0,28.0,13.0,"[['rhaeredekop from Winnipeg, MB ', 5], ['lizgoldsmith1960 from Lincoln, MA ', 5], ['bmaybeegeorge from Canada', 5], ['adventurousz from Boulder, CO ', 3], ['epaul77 from Mississippi ', 5], ['lizzydlangley from St. Louis ', 5], ['Jweyant from Maine ', 5], ['tjsnuffin from Cincinnati, OH ', 5], ['sarahglittle7930 from Denver, CO ', 5], ['wendymochi from Torrance ', 5], ['ayydre from California ', 4], ['susanweiss from Rockville, MD ', 5], ['silvia_v from Belmont, MA ', 5], ['Tejanacooks from Texas ', 3], ['kevinj308 ', 5], ['cellocath85 from Maryland ', 5], ['mvross from Texas ', 5], ['lhdowney from Charlotte, NC ', 5], ['jsbjk from Winnetka, IL ', 4], ['karen8221 from Westchester County, NY ', 5], ['idesalos from Houston ', 5], ['colettestp from Montreal, Canada ', 5], ['yoshihaga22 from Laguna Beach, Ca. ', 5], ['anniemh5 ', 4], ['diana.kulpa1463 from Toronto, ON ', 5]]"
1,0,lizgoldsmith1960 from Lincoln,5.0,"Curried Lentil, Tomato, and Coconut Soup ",5.0,437.0,667.0,28.0,13.0,"[['rhaeredekop from Winnipeg, MB ', 5], ['lizgoldsmith1960 from Lincoln, MA ', 5], ['bmaybeegeorge from Canada', 5], ['adventurousz from Boulder, CO ', 3], ['epaul77 from Mississippi ', 5], ['lizzydlangley from St. Louis ', 5], ['Jweyant from Maine ', 5], ['tjsnuffin from Cincinnati, OH ', 5], ['sarahglittle7930 from Denver, CO ', 5], ['wendymochi from Torrance ', 5], ['ayydre from California ', 4], ['susanweiss from Rockville, MD ', 5], ['silvia_v from Belmont, MA ', 5], ['Tejanacooks from Texas ', 3], ['kevinj308 ', 5], ['cellocath85 from Maryland ', 5], ['mvross from Texas ', 5], ['lhdowney from Charlotte, NC ', 5], ['jsbjk from Winnetka, IL ', 4], ['karen8221 from Westchester County, NY ', 5], ['idesalos from Houston ', 5], ['colettestp from Montreal, Canada ', 5], ['yoshihaga22 from Laguna Beach, Ca. ', 5], ['anniemh5 ', 4], ['diana.kulpa1463 from Toronto, ON ', 5]]"
2,0,bmaybeegeorge from Canada,5.0,"Curried Lentil, Tomato, and Coconut Soup ",5.0,437.0,667.0,28.0,13.0,"[['rhaeredekop from Winnipeg, MB ', 5], ['lizgoldsmith1960 from Lincoln, MA ', 5], ['bmaybeegeorge from Canada', 5], ['adventurousz from Boulder, CO ', 3], ['epaul77 from Mississippi ', 5], ['lizzydlangley from St. Louis ', 5], ['Jweyant from Maine ', 5], ['tjsnuffin from Cincinnati, OH ', 5], ['sarahglittle7930 from Denver, CO ', 5], ['wendymochi from Torrance ', 5], ['ayydre from California ', 4], ['susanweiss from Rockville, MD ', 5], ['silvia_v from Belmont, MA ', 5], ['Tejanacooks from Texas ', 3], ['kevinj308 ', 5], ['cellocath85 from Maryland ', 5], ['mvross from Texas ', 5], ['lhdowney from Charlotte, NC ', 5], ['jsbjk from Winnetka, IL ', 4], ['karen8221 from Westchester County, NY ', 5], ['idesalos from Houston ', 5], ['colettestp from Montreal, Canada ', 5], ['yoshihaga22 from Laguna Beach, Ca. ', 5], ['anniemh5 ', 4], ['diana.kulpa1463 from Toronto, ON ', 5]]"
3,0,adventurousz from Boulder,3.0,"Curried Lentil, Tomato, and Coconut Soup ",5.0,437.0,667.0,28.0,13.0,"[['rhaeredekop from Winnipeg, MB ', 5], ['lizgoldsmith1960 from Lincoln, MA ', 5], ['bmaybeegeorge from Canada', 5], ['adventurousz from Boulder, CO ', 3], ['epaul77 from Mississippi ', 5], ['lizzydlangley from St. Louis ', 5], ['Jweyant from Maine ', 5], ['tjsnuffin from Cincinnati, OH ', 5], ['sarahglittle7930 from Denver, CO ', 5], ['wendymochi from Torrance ', 5], ['ayydre from California ', 4], ['susanweiss from Rockville, MD ', 5], ['silvia_v from Belmont, MA ', 5], ['Tejanacooks from Texas ', 3], ['kevinj308 ', 5], ['cellocath85 from Maryland ', 5], ['mvross from Texas ', 5], ['lhdowney from Charlotte, NC ', 5], ['jsbjk from Winnetka, IL ', 4], ['karen8221 from Westchester County, NY ', 5], ['idesalos from Houston ', 5], ['colettestp from Montreal, Canada ', 5], ['yoshihaga22 from Laguna Beach, Ca. ', 5], ['anniemh5 ', 4], ['diana.kulpa1463 from Toronto, ON ', 5]]"
4,0,epaul77 from Mississippi,5.0,"Curried Lentil, Tomato, and Coconut Soup ",5.0,437.0,667.0,28.0,13.0,"[['rhaeredekop from Winnipeg, MB ', 5], ['lizgoldsmith1960 from Lincoln, MA ', 5], ['bmaybeegeorge from Canada', 5], ['adventurousz from Boulder, CO ', 3], ['epaul77 from Mississippi ', 5], ['lizzydlangley from St. Louis ', 5], ['Jweyant from Maine ', 5], ['tjsnuffin from Cincinnati, OH ', 5], ['sarahglittle7930 from Denver, CO ', 5], ['wendymochi from Torrance ', 5], ['ayydre from California ', 4], ['susanweiss from Rockville, MD ', 5], ['silvia_v from Belmont, MA ', 5], ['Tejanacooks from Texas ', 3], ['kevinj308 ', 5], ['cellocath85 from Maryland ', 5], ['mvross from Texas ', 5], ['lhdowney from Charlotte, NC ', 5], ['jsbjk from Winnetka, IL ', 4], ['karen8221 from Westchester County, NY ', 5], ['idesalos from Houston ', 5], ['colettestp from Montreal, Canada ', 5], ['yoshihaga22 from Laguna Beach, Ca. ', 5], ['anniemh5 ', 4], ['diana.kulpa1463 from Toronto, ON ', 5]]"
5,0,lizzydlangley from St Louis,5.0,"Curried Lentil, Tomato, and Coconut Soup ",5.0,437.0,667.0,28.0,13.0,"[['rhaeredekop from Winnipeg, MB ', 5], ['lizgoldsmith1960 from Lincoln, MA ', 5], ['bmaybeegeorge from Canada', 5], ['adventurousz from Boulder, CO ', 3], ['epaul77 from Mississippi ', 5], ['lizzydlangley from St. Louis ', 5], ['Jweyant from Maine ', 5], ['tjsnuffin from Cincinnati, OH ', 5], ['sarahglittle7930 from Denver, CO ', 5], ['wendymochi from Torrance ', 5], ['ayydre from California ', 4], ['susanweiss from Rockville, MD ', 5], ['silvia_v from Belmont, MA ', 5], ['Tejanacooks from Texas ', 3], ['kevinj308 ', 5], ['cellocath85 from Maryland ', 5], ['mvross from Texas ', 5], ['lhdowney from Charlotte, NC ', 5], ['jsbjk from Winnetka, IL ', 4], ['karen8221 from Westchester County, NY ', 5], ['idesalos from Houston ', 5], ['colettestp from Montreal, Canada ', 5], ['yoshihaga22 from Laguna Beach, Ca. ', 5], ['anniemh5 ', 4], ['diana.kulpa1463 from Toronto, ON ', 5]]"
6,0,Jweyant from Maine,5.0,"Curried Lentil, Tomato, and Coconut Soup ",5.0,437.0,667.0,28.0,13.0,"[['rhaeredekop from Winnipeg, MB ', 5], ['lizgoldsmith1960 from Lincoln, MA ', 5], ['bmaybeegeorge from Canada', 5], ['adventurousz from Boulder, CO ', 3], ['epaul77 from Mississippi ', 5], ['lizzydlangley from St. Louis ', 5], ['Jweyant from Maine ', 5], ['tjsnuffin from Cincinnati, OH ', 5], ['sarahglittle7930 from Denver, CO ', 5], ['wendymochi from Torrance ', 5], ['ayydre from California ', 4], ['susanweiss from Rockville, MD ', 5], ['silvia_v from Belmont, MA ', 5], ['Tejanacooks from Texas ', 3], ['kevinj308 ', 5], ['cellocath85 from Maryland ', 5], ['mvross from Texas ', 5], ['lhdowney from Charlotte, NC ', 5], ['jsbjk from Winnetka, IL ', 4], ['karen8221 from Westchester County, NY ', 5], ['idesalos from Houston ', 5], ['colettestp from Montreal, Canada ', 5], ['yoshihaga22 from Laguna Beach, Ca. ', 5], ['anniemh5 ', 4], ['diana.kulpa1463 from Toronto, ON ', 5]]"
7,0,tjsnuffin from Cincinnati,5.0,"Curried Lentil, Tomato, and Coconut Soup ",5.0,437.0,667.0,28.0,13.0,"[['rhaeredekop from Winnipeg, MB ', 5], ['lizgoldsmith1960 from Lincoln, MA ', 5], ['bmaybeegeorge from Canada', 5], ['adventurousz from Boulder, CO ', 3], ['epaul77 from Mississippi ', 5], ['lizzydlangley from St. Louis ', 5], ['Jweyant from Maine ', 5], ['tjsnuffin from Cincinnati, OH ', 5], ['sarahglittle7930 from Denver, CO ', 5], ['wendymochi from Torrance ', 5], ['ayydre from California ', 4], ['susanweiss from Rockville, MD ', 5], ['silvia_v from Belmont, MA ', 5], ['Tejanacooks from Texas ', 3], ['kevinj308 ', 5], ['cellocath85 from Maryland ', 5], ['mvross from Texas ', 5], ['lhdowney from Charlotte, NC ', 5], ['jsbjk from Winnetka, IL ', 4], ['karen8221 from Westchester County, NY ', 5], ['idesalos from Houston ', 5], ['colettestp from Montreal, Canada ', 5], ['yoshihaga22 from Laguna Beach, Ca. ', 5], ['anniemh5 ', 4], ['diana.kulpa1463 from Toronto, ON ', 5]]"
8,0,sarahglittle7930 from Denver,5.0,"Curried Lentil, Tomato, and Coconut Soup ",5.0,437.0,667.0,28.0,13.0,"[['rhaeredekop from Winnipeg, MB ', 5], ['lizgoldsmith1960 from Lincoln, MA ', 5], ['bmaybeegeorge from Canada', 5], ['adventurousz from Boulder, CO ', 3], ['epaul77 from Mississippi ', 5], ['lizzydlangley from St. Louis ', 5], ['Jweyant from Maine ', 5], ['tjsnuffin from Cincinnati, OH ', 5], ['sarahglittle7930 from Denver, CO ', 5], ['wendymochi from Torrance ', 5], ['ayydre from California ', 4], ['susanweiss from Rockville, MD ', 5], ['silvia_v from Belmont, MA ', 5], ['Tejanacooks from Texas ', 3], ['kevinj308 ', 5], ['cellocath85 from Maryland ', 5], ['mvross from Texas ', 5], ['lhdowney from Charlotte, NC ', 5], ['jsbjk from Winnetka, IL ', 4], ['karen8221 from Westchester County, NY ', 5], ['idesalos from Houston ', 5], ['colettestp from Montreal, Canada ', 5], ['yoshihaga22 from Laguna Beach, Ca. ', 5], ['anniemh5 ', 4], ['diana.kulpa1463 from Toronto, ON ', 5]]"
9,0,wendymochi from Torrance,5.0,"Curried Lentil, Tomato, and Coconut Soup ",5.0,437.0,667.0,28.0,13.0,"[['rhaeredekop from Winnipeg, MB ', 5], ['lizgoldsmith1960 from Lincoln, MA ', 5], ['bmaybeegeorge from Canada', 5], ['adventurousz from Boulder, CO ', 3], ['epaul77 from Mississippi ', 5], ['lizzydlangley from St. Louis ', 5], ['Jweyant from Maine ', 5], ['tjsnuffin from Cincinnati, OH ', 5], ['sarahglittle7930 from Denver, CO ', 5], ['wendymochi from Torrance ', 5], ['ayydre from California ', 4], ['susanweiss from Rockville, MD ', 5], ['silvia_v from Belmont, MA ', 5], ['Tejanacooks from Texas ', 3], ['kevinj308 ', 5], ['cellocath85 from Maryland ', 5], ['mvross from Texas ', 5], ['lhdowney from Charlotte, NC ', 5], ['jsbjk from Winnetka, IL ', 4], ['karen8221 from Westchester County, NY ', 5], ['idesalos from Houston ', 5], ['colettestp from Montreal, Canada ', 5], ['yoshihaga22 from Laguna Beach, Ca. ', 5], ['anniemh5 ', 4], ['diana.kulpa1463 from Toronto, ON ', 5]]"
